,mil,mais
year,-0.005770364885112682,0.1690045882110304
Tmin_ERA5,-0.2710130462235401,-0.5157850117773932
ERA5_Pressure,0.29282554461767596,0.5798560360400861
ERA5_wins,-0.23077062075454802,-0.4130700345298264
ARC2_year,0.2775252550661363,0.5195622236544334
Best_Temp_Max,-0.3128632990663094,-0.5326550644692483
Best_Temp,-0.2847737004224788,-0.48103468446803765
Tamsat_Prec,0.2767933991873036,0.5554982916496608
chirps_Prec,0.3129986867711437,0.588642388140578
CDD,-0.03968302729682872,-0.14128166809234352
CWD,0.18322743053687865,0.18066345674986706
PRCPTOT,0.2931688991236661,0.5237401764726926
R10mm,0.26573120981001197,0.48772966399663126
R1mm,0.3162744422085284,0.4649094410295633
R20mm,0.20030209929573903,0.4015268000252336
R5mm,0.32675232731020437,0.4666788481921767
R95pTOT,0.09515807206395921,0.20731599370675718
R99pTOT,0.01728831727265669,0.08629857759779086
RX1day,0.17645520300507797,0.3821760222384649
RX5day,0.131894592291922,0.28208024905903406
SDII,0.17757181312572082,0.3698440357828808
TNn,-0.2659154074162703,-0.4435826063377401
TXn,-0.23443463885917176,-0.41545050495724356
TNx,-0.2984509224467835,-0.4757133210114577
TXx,-0.23580452308471478,-0.5054416298271676
Nino,0.12020856663984411,0.13244070905910574
sahel_rainfal,-0.06540721865854007,0.12181655027826072
qbo,-0.009983453502788127,-0.07312610193149852
NDVI,-0.016482536703432284,0.004245433409991404
ERA5_soil_moisture,0.272265504025245,0.533921496211914
AMM,0.07675405752813481,-0.010342904664156697
AMO,0.04447464543513145,0.061120530775076246
AO,-0.04219519644783654,-0.03508021149926361
EA,-0.13060345324922173,-0.15490637920148018
NAO,-0.034930872160840905,-0.12478657990888849
NTA,0.06946814498872102,0.05190048626350243
PDO,0.07775638278256758,0.08519666593891176
gmsst,-0.04932934669724121,0.10962692363044667
tna,0.06646523419176255,0.030597755007592937
tsa,-0.14825253199828198,0.015213621479255451
mil,1.0,0.5116379370062364
mais,0.5116379370062364,1.0
